Nom,résumé,relation
ChatGPT, L'IA conversationnelle référence pour trouver réponse à vos questions mais aussi pour créer des,"A1, A2, A3, B1, B2, B3, C1, C2, C3"
MidJourney,L'IA d'imagerie de référence. Décrivez le visuel que vous souhaitez générer et l'IA vous propose une,"A1, A3, B2, B3"
LLaMa Chat,Le ChatGPT de Facebook,"A1, A3, B1, B2, B3"
Automorphic,Plateforme axée sur la protection de la vie privée dans les applications d'intelligence artificielle.,C1
Stable Doodle,,C1
AI Companion,"Assistant personnel IA conçu pour fournir des conversations naturelles, aider à organiser les tâches quotidiennes et répondre aux requêtes.",A1
Wonder Dynamics,,C1
Heygen,générateur de vidéo,A3
Dora AI,Outil d'IA conversationnelle avancée pour la gestion des requêtes et des services d'information dans divers contextes.,C1
Movie Deep Search,,C1
OpenLLM,Le Consortium OpenLLM France réunit 17 acteurs qui se sont rassemblés dans le prolongement de la création de la communauté OpenLLM France qui fédère à ce jour un écosystème de près de 200 entités.,C1
http://maxai.me (ex-UseChat AI),Assistant IA conçu pour répondre à des questions et automatiser des tâches à travers une interface conversationnelle,C1
Liftoff Interview,Outil d'IA conçu pour simuler des entretiens professionnels et offrir des recommandations personnalisées pour améliorer les réponses.,"A1, A2, B1, C2"
Framer AI,Outil d'IA qui permet de concevoir rapidement des interfaces utilisateur et des prototypes à partir de descriptions textuelles.,C1
Uncrop,Outil d'IA qui permet de recadrer intelligemment les images et d'étendre les bords d'une image en générant du contenu,"A3, C1"
SuperAGI,"Plateforme d'IA conçue pour créer des agents autonomes capables d'effectuer des tâches complexes sans supervision.""",C1
InternGPT,Assistant IA autonome capable d'exécuter des tâches de gestion de projet et de fournir des recommandations intelligentes.,C1
LocalGPT,Chatbot IA local qui traite les données et résume des documents directement sur la machine sans connexion Internet.,"A1, A3, C1"
Simpler,Outil d'IA pour simplifier et automatiser la gestion de documents et de tâches administratives.,C1
Shot Rate,Outil d'IA pour la création de storyboards et de séquences de prise de vue pour les films et vidéos.,C1
LLM Report,Chatbot généré par IA conçu pour résumer et interpréter des rapports longs ou complexes.,"A1, A3, C1"
BacklinkGPT,"Outil d'IA qui génère du contenu optimisé pour le SEO et les backlinks, aidant à améliorer la visibilité des blogs et sites web.",C1
Olvy,Plateforme d'IA permettant de recueillir et d'analyser les retours utilisateurs pour améliorer les produits et services.,C1
MarkDX,"Outil d'IA pour la rédaction d'articles scientifiques et de blogs, avec un focus sur l'optimisation du contenu et la clarté.",A1
Uncody,Outil IA conçu pour générer du code propre et documenté à partir de simples instructions en langage naturel,C1
Clipdrop,"Plateforme d'édition d'images basée sur l'IA, permettant aux utilisateurs de créer, éditer et améliorer des images grâce à des outils IA.",A3
codeamigo,"Outil d'assistance au développement offrant des recommandations de code, des exemples et des conseils pour les développeurs",C1
SciSummary,Outil d'IA spécialisé dans le résumé d'articles scientifiques et techniques.,"A1, A2, A3"
Learning Studio AI,Plateforme d'apprentissage assistée par IA pour créer des expériences d'apprentissage personnalisées et interactives.,"A1, A2, A3, C2"
CourseAI,"Plateforme d'apprentissage assistée par IA, permettant de concevoir et suivre des cours personnalisés et interactifs.","A1, A2, B1, B2, B3, C2"
 Writers brew ,"Assistant d'écriture IA conçu pour rédiger des textes dans divers formats, de manière rapide et fluide.",C1
CreateChatApp,Plateforme de création d'applications de chatbot permettant aux utilisateurs de concevoir des bots personnalisés pour diverses tâches.,C1
 Cyte ,"Outil d'IA pour capturer et organiser des informations provenant de diverses sources, optimisé pour la gestion de données.","A1, A2, B1, C3"
ChatHub,"Plateforme permettant de gérer et d'interagir avec plusieurs chatbots sur une seule interface, centralisant les communications.",C1
easywithai (ex-useChatGPT),Extension permettant d'intégrer ChatGPT dans des applications et plateformes pour améliorer les capacités conversationnelles.,C1
 Langdock ,Outil d'IA permettant de créer des agents conversationnels personnalisés à partir de modèles de langage naturel.,C1
ChatALL,Chatbot permettant de centraliser plusieurs plateformes de chat dans une seule interface pour gérer les interactions à partir d'un seul endroit.,C1
Zoo Replicate,"Plateforme IA pour générer des images à partir de modèles d'art open-source, permettant de répliquer des styles visuels",C1
 Voicify ,Plateforme IA permettant de créer des voix off et des narrations personnalisées à partir de texte,A3
elevenlabs,générateur d’audio. fonctionne bien de pair avec Heygen (https://www.notion.so/Heygen-11aba3cbb32781ef80ead3a60dae6ff9?pvs=21) ,"A1, A3, C1"
 PrivateGPT ,"Chatbot IA local conçu pour interagir avec des documents et fournir des résumés, tout en préservant la confidentialité des données.","A1, A3"
 GeneratedBy ,Outil d'IA dédié à la création automatique de contenus visuels à partir de prompts textuels.,A3
 Quivr ,"Assistant IA conçu pour interagir avec des documents complexes, fournir des résumés et répondre à des questions.","A1, A2, A3"
 Help.center ,"Assistant IA spécialisé dans le support client, permettant de répondre automatiquement aux requêtes des utilisateurs.",C1
 Folk CRM ,Outil CRM assisté par IA permettant de gérer et organiser les relations clients avec des fonctionnalités automatisées.,C1
 PDF.ai ,"Chatbot IA conçu pour interagir avec des documents PDF, répondre à des questions et fournir des résumés.","A1, A2, A3"
 EnhanceDocs ,Outil d'IA qui améliore les documents en résumant les informations clés et en offrant des réponses basées sur le contenu.,"A1, A2, A3"
Dream3D,Outil d'IA permettant de générer des modèles et des scènes en 3D à partir de simples descriptions textuelles.,C1
